,裁定,臺灣新北地方法院,判賠比率
福建金門地方法院民事判決107年度建字第3號,1,0,0.938248419
臺灣南投地方法院民事判決109年度建字第4號,0,0,0.699999611
臺灣嘉義地方法院民事判決110年度建字第2號,0,0,
臺灣基隆地方法院民事判決110年度建字第2號,0,0,1
臺灣士林地方法院民事判決109年度建字第35號,0,0,0
臺灣宜蘭地方法院民事判決108年度建字第16號,0,0,0.007105503
臺灣屏東地方法院民事判決108年度建字第29號,0,0,
臺灣彰化地方法院民事判決109年度建字第22號,0,0,
臺灣彰化地方法院民事判決109年度建字第8號,0,0,0.253807107
臺灣新北地方法院民事判決105年度建字第69號,0,1,0
臺灣新北地方法院民事判決109年度建字第61號,0,1,0
臺灣新竹地方法院民事判決106年度建字第23號,0,0,
臺灣桃園地方法院民事判決107年度建字第58號,0,0,0
臺灣桃園地方法院民事判決109年度建字第126號,0,0,0
臺灣桃園地方法院民事判決109年度建字第27號,0,0,0.347575414
臺灣桃園地方法院民事判決109年度建字第59號,0,0,
臺灣桃園地方法院民事判決109年度建字第68號,1,0,
臺灣橋頭地方法院民事判決109年度建字第10號,0,0,0
臺灣臺中地方法院民事判決107年度建字第145號,0,0,0
臺灣臺中地方法院民事判決107年度建字第149號,0,0,0.740628703
臺灣臺中地方法院民事判決109年度建字第61號,0,0,
臺灣臺中地方法院民事判決109年度建字第82號,0,0,
臺灣臺北地方法院民事判決106年度建字第139號,1,0,0.069235018
臺灣臺北地方法院民事判決107年度建字第352號,0,0,0.059565152
臺灣臺北地方法院民事判決108年度建字第30號,0,0,0.672594971
臺灣臺北地方法院民事判決108年度建字第383號,0,0,0
臺灣臺北地方法院民事判決108年度建字第386號,0,0,0.7691136
臺灣臺北地方法院民事判決109年度建字第202號,0,0,0
臺灣臺北地方法院民事判決109年度建字第219號,0,0,1
臺灣臺北地方法院民事判決109年度建字第252號,1,0,1
臺灣臺北地方法院民事判決109年度建字第268號,0,0,0.852975153
臺灣臺北地方法院民事判決109年度建字第285號,0,1,0
臺灣臺北地方法院民事判決109年度建字第29號,0,0,0.523140691
臺灣臺北地方法院民事判決109年度建字第335號,0,0,0.546218487
臺灣臺北地方法院民事判決109年度建字第73號,0,0,
臺灣臺北地方法院民事判決109年度建字第86號,0,0,0
臺灣臺北地方法院民事判決110年度建字第29號,0,0,1
臺灣臺南地方法院民事判決108年度建字第23號,1,0,0.996514757
臺灣臺南地方法院民事判決109年度建字第66號,0,0,
