,,判賠比率,判決案由
0,福建金門地方法院民事判決107年度建字第3號,0.938248419,給付工程款等
1,臺灣南投地方法院民事判決109年度建字第4號,0.699999611,損害賠償
2,臺灣嘉義地方法院民事判決110年度建字第2號,,給付工程款
3,臺灣基隆地方法院民事判決110年度建字第2號,1,損害賠償等
4,臺灣士林地方法院民事判決109年度建字第35號,0,給付工程保留款
5,臺灣宜蘭地方法院民事判決108年度建字第16號,0.007105503,給付工程款
6,臺灣屏東地方法院民事判決108年度建字第29號,,給付工程款
7,臺灣彰化地方法院民事判決109年度建字第22號,,損害賠償
8,臺灣彰化地方法院民事判決109年度建字第8號,0.253807107,給付工程款
9,臺灣新北地方法院民事判決105年度建字第69號,0,損害賠償
10,臺灣新北地方法院民事判決109年度建字第61號,0,給付工程款等
11,臺灣新竹地方法院民事判決106年度建字第23號,,給付工程款
12,臺灣桃園地方法院民事判決107年度建字第58號,0,損害賠償等
13,臺灣桃園地方法院民事判決109年度建字第126號,0,損害賠償
14,臺灣桃園地方法院民事判決109年度建字第27號,0.347575414,給付承攬報酬
15,臺灣桃園地方法院民事判決109年度建字第59號,,給付工程款
16,臺灣桃園地方法院民事判決109年度建字第68號,,給付工程款
17,臺灣橋頭地方法院民事判決109年度建字第10號,0,給付承攬報酬等
18,臺灣臺中地方法院民事判決107年度建字第145號,0,給付工程款
19,臺灣臺中地方法院民事判決107年度建字第149號,0.740628703,給付工程款
20,臺灣臺中地方法院民事判決109年度建字第61號,,返還工程款等
21,臺灣臺中地方法院民事判決109年度建字第82號,,損害賠償
22,臺灣臺北地方法院民事判決106年度建字第139號,0.069235018,損害賠償
23,臺灣臺北地方法院民事判決107年度建字第352號,0.059565152,給付工程款
24,臺灣臺北地方法院民事判決108年度建字第30號,0.672594971,給付承攬報酬等
25,臺灣臺北地方法院民事判決108年度建字第383號,0,給付工程款
26,臺灣臺北地方法院民事判決108年度建字第386號,0.7691136,給付工程款
27,臺灣臺北地方法院民事判決109年度建字第202號,0,給付逾期違約金
28,臺灣臺北地方法院民事判決109年度建字第219號,1,返還工程款
